Name,Address,Lat,Lng,Group,URL
Cathedral Coffee,"7530 N Willamette Blvd, Portland OR",45.5840254,-122.7463235,A,https://jonhays.me/2016/04/01/185500.html
TwentySix Café,"NE 7th Ave, Portland OR",45.5487444,-122.6586408,A,https://jonhays.me/2016/04/02/191303.html
Miss Zumstein,"5027 NE 42nd Ave, Portland OR",45.5594168,-122.6206348,A,https://jonhays.me/2016/04/03/194146.html
Saint Simon Coffee,"2005 NE Broadway, Portland OR",45.5352383,-122.6456955,A,https://jonhays.me/2016/04/04/205711.html
Tiny’s Coffee,"2031 NE Martin Luther King Jr Blvd, Portland OR",45.537646,-122.6618759,A,https://jonhays.me/2016/04/05/202928.html
Fillmore Coffee,"7201 NE Glisan St, Portland OR",45.5266701,-122.5884152,A,https://jonhays.me/2016/04/06/185253.html
Prince Coffee,"2030 N Willis Blvd, Portland OR",45.5836098,-122.6876206,A,https://jonhays.me/2016/04/07/214035.html
Bison Coffee House,"3941 NE Cully Blvd, Portland OR",45.5517899,-122.6043058,A,https://jonhays.me/2016/04/08/164639.html
Seven Virtues,"2705 NE Sandy Blvd, Portland OR",45.529153,-122.638164,A,https://jonhays.me/2016/04/09/232056.html
Batter,"4425 NE Fremont St, Portland OR",45.5484402,-122.6177744,A,https://jonhays.me/2016/04/10/033150.html
Kopi,"2327 E Burnside St, Portland OR",45.5230447,-122.6417603,A,https://jonhays.me/2016/04/11/210521.html
Locale,"4330 N Mississippi Ave, Portland OR",45.5551174,-122.6753474,A,https://jonhays.me/2016/04/12/223750.html
The Fresh Pot,"4001 N Mississippi Ave, Portland OR",45.5522663,-122.6757221,A,https://jonhays.me/2016/04/13/223213.html
Goldrush,"2601 NE Martin Luther King Jr. Blvd, Portland OR",45.5410198,-122.6618051,A,https://jonhays.me/2016/04/14/222606.html
Bassotto,"1760 NE Dekum, Portland OR",45.5717723,-122.647105,A,https://jonhays.me/2016/04/15/191609.html
Spielman Bagels,"2200 NE Broadway St, Portland OR",45.534848,-122.6427265,A,https://jonhays.me/2016/04/16/043700.html
Wholesome Blend,"4615 NE Sandy Blvd, Portland OR",45.5382348,-122.6157771,A,https://jonhays.me/2016/04/18/152244.html
Cup & Bar,"118 NE Martin Luther King Jr. Blvd, Portland OR",45.5239652,-122.6613837,A,https://jonhays.me/2016/04/18/213231.html
